일련번호,검색량년월,출처ID,대표키워드명,검색어명,검색량값,출처분류명
32149,Mar-23,454,안성맞춤남사당바우덕이축제,안성맞춤남사당바우덕이축제,70,문화축제
32150,Mar-23,938,약령개장 357주년 2015「대구약령시 한방문화축제」,대구약령시한방문화축제,190,문화축제
32151,Mar-23,1035,양록제,양록제,30,문화축제
32152,Mar-23,759,양산삽량문화축전,양산삽량문화축전,70,문화축제
32153,Mar-23,758,양산웅상회야제,양산웅상회야제,110,문화축제
32154,Mar-23,410,양양문화제,양양문화제,60,문화축제
32155,Mar-23,408,양양송이축제,양양송이축제,310,문화축제
32156,Mar-23,409,양양연어축제,양양연어축제,560,문화축제
32157,Mar-23,428,양지암축제,양지암축제,23,문화축제
32158,Mar-23,188,양촌곶감축제,양촌곶감축제,40,문화축제
32159,Mar-23,455,양평용문산산나물축제,양평용문산산나물축제,3790,문화축제
32160,Mar-23,1041,억새꽃 축제,억새꽃축제,30,문화축제
32161,Mar-23,357,여수거북선축제,여수거북선축제,1000,문화축제
32162,Mar-23,362,여수동동북축제,여수동동북축제,19,문화축제
32163,Mar-23,364,여수마칭페스티벌,여수마칭페스티벌,30,문화축제
32164,Mar-23,360,여수밤바다 불꽃축제,여수밤바다불꽃축제,850,문화축제
32165,Mar-23,356,여수영취산진달래체험행사,여수영취산진달래체험행사,1690,문화축제
32167,Mar-23,537,연산대추축제,연산대추축제,40,문화축제
32168,Mar-23,1076,연안부두 축제,연안부두축제,20,문화축제
32169,Mar-23,457,연천구석기축제,연천구석기축제,2880,문화축제
32170,Mar-23,229,영덕대게축제,영덕대게축제,12540,문화축제
32171,Mar-23,231,영덕물가자미축제,영덕물가자미축제,320,문화축제
32172,Mar-23,230,영덕황금은어축제,영덕황금은어축제,30,문화축제
32173,Mar-23,1097,영도구룡축제,영도구룡축제,210,문화축제
32174,Mar-23,491,영암왕인문화축제,영암왕인문화축제,22170,문화축제
32175,Mar-23,482,영월동강뗏목축제,영월동강뗏목축제,15,문화축제
32176,Mar-23,340,영천문화예술제,영천문화예술제,16,문화축제
32177,Mar-23,341,영천보현산별빛축제,영천보현산별빛축제,16,문화축제
32178,Mar-23,339,영천한약축제,영천한약축제,250,문화축제
32179,Mar-23,1013,예산장터삼국축제,예산장터삼국축제,840,문화축제
32180,Mar-23,458,오산독산성문화제,오산독산성문화제,90,문화축제
32181,Mar-23,41,오징어축제,오징어축제,190,문화축제
32182,Mar-23,717,와룡문화제,와룡문화제,470,문화축제
32183,Mar-23,550,완주 프러포즈축제,완주프러포즈축제,17,문화축제
32184,Mar-23,549,완주와일드푸드축제,완주와일드푸드축제,100,문화축제
32185,Mar-23,162,왕새우 축제,왕새우축제,21,문화축제
32186,Mar-23,126,용마폭포 문화예술축제,용마폭포문화예술축제,30,문화축제
32187,Mar-23,314,우륵문화제,우륵문화제,100,문화축제
32188,Mar-23,1118,우시산국축제,우시산국축제,250,문화축제
32189,Mar-23,986,우장산 신록축제,우장산신록축제,30,문화축제
32190,Mar-23,51,울산고래축제,울산고래축제,3170,문화축제
32191,Mar-23,50,울산대공원 장미축제,울산대공원장미축제,770,문화축제
32192,Mar-23,1021,울산쇠부리축제,울산쇠부리축제,3660,문화축제
32193,Mar-23,1117,울산옹기축제,울산옹기축제,850,문화축제
32194,Mar-23,613,울산조선해양축제,울산조선해양축제,150,문화축제
32195,Mar-23,1119,울주세계산악영화제,울주세계산악영화제,430,문화축제
32196,Mar-23,1051,울진금강송송이축제와 친환경농산물축제,울진금강송송이축제,20,문화축제
32197,Mar-23,1049,울진대게와 붉은대게 축제,울진대게와붉은대게축제,260,문화축제
32198,Mar-23,757,원동매화축제,원동매화축제,131900,문화축제
32199,Mar-23,755,원동청정미나리축제,원동청정미나리축제,160,문화축제
32200,Mar-23,1026,원주 다이내믹 댄싱카니발,원주다이내믹댄싱카니발,130,문화축제
32201,Mar-23,1025,원주 용수골 꽃 양귀비축제,원주용수골꽃양귀비축제,380,문화축제
32202,Mar-23,1027,원주 한지문화제,원주한지문화제,500,문화축제
32203,Mar-23,213,윤봉길평화축제,윤봉길평화축제,340,문화축제
32204,Mar-23,1128,은평누리축제,은평누리축제,60,문화축제
32205,Mar-23,1114,은행나무길 축제,은행나무길축제,26,문화축제
